# Tesserae V3 results
#
# session   = 00000006
# source    = statius.thebaid
# target    = statius.achilleid
# unit      = line
# feature   = stem
# stopsize  = 10
# stbasis   = both
# stopwords = et qui quis in hic iam ille neque tu ego
# max_dist  = 10
# dibasis   = freq
# cutoff    = 9
# filter    = off

"RESULT"	"TARGET_LOC"	"TARGET_TXT"	"SOURCE_LOC"	"SOURCE_TXT"	"SHARED"	"SCORE"
76	"stat. ach. 1.81"	"**fata** **vetant**, ratus ordo deis miscere cruentas"	"stat. theb. 8.618"	"stantque super nidos **veterisque** exordia **fati**"	"ueto; fatum-for"	9.07
77	"stat. ach. 1.81"	"**fata** **vetant**, ratus ordo deis miscere cruentas"	"stat. theb. 9.254"	"amne Linum, ni **fata** **vetent** et stamine primo"	"ueto; fatum-for"	9.80
78	"stat. ach. 1.81"	"fata vetant, **ratus** ordo **deis** miscere cruentas"	"stat. theb. 10.702"	"illius haec forsan, **remur** quae verba **deorum**;"	"deus; reor"	9.30
79	"stat. ach. 1.88"	"flumina et Hectoreo **tardabit** funere **currus**"	"stat. theb. 12.543"	"atque ubi **tardavit** **currus** et ab axe superbo"	"tardo; currus"	9.62
80	"stat. ach. 1.95"	"Dixerat, **illa** **gravi** vultum demissa repulsa,"	"stat. theb. 12.230"	"cum tamen **illa** **gravem** luctu fallente laborem"	"illa; grauis"	9.12
81	"stat. ach. 1.97"	"Iliacis, alios **animo** commenta **paratus**,"	"stat. theb. 3.610"	"tot ferro accinetae gentes **animisque** **paratae**"	"paratus-paro; animus"	9.23
82	"stat. ach. 1.102"	"antra sinus **lateque** **deae** Sperchios abundat"	"stat. theb. 3.314"	"tunc me sanguineo **late** **defervere** campo"	"deferuesco; fero-lateo-latus"	9.84
83	"stat. ach. 1.102"	"antra **sinus** **lateque** deae Sperchios abundat"	"stat. theb. 10.41"	"partiti **laterumque** **sinus**, vallum undique cingunt"	"latus; sinus"	9.86
84	"stat. ach. 1.102"	"antra sinus **lateque** **deae** Sperchios abundat"	"stat. theb. 11.127"	"ista **deis** **lateantque** Iovem; sat funera mensae"	"dea; lateo"	9.83
85	"stat. ach. 1.104"	"illa nihil gavisa locis, **sed** **coepta** fatigat"	"stat. theb. 11.536"	"volnera, **sed** **coeptus** sanguis, facinusque peractum est."	"sed; coepi"	9.18
86	"stat. ach. 1.107"	"perforat et **longo** **suspendit** Pelion arcu;"	"stat. theb. 6.473"	"impetus, et **longi** **suspendunt** ilia flatus,"	"longus; suspendo"	9.80
87	"stat. ach. 1.107"	"perforat et **longo** **suspendit** Pelion **arcu**;"	"stat. theb. 10.83"	"linquit et in terras **longo** **suspenditur** **arcu**."	"arcus; suspendo; longus"	9.75
88	"stat. ach. 1.108"	"pars exhausta **manu**, partem sua **ruperat** aetas,"	"stat. theb. 2.339"	"admota deprendo **manu**? nil foedere **rupto**"	"manus; rumpo"	9.10
89	"stat. ach. 1.108"	"pars **exhausta** manu, partem **sua** ruperat aetas,"	"stat. theb. 10.838"	"caedis, et **exhaustis** olim Graiumque **suisque**"	"suus; exhaurio"	9.45
90	"stat. ach. 1.109"	"signa tamen divumque tori et quem **quisque** **sacravit**"	"stat. theb. 1.557"	"Forsitan, o iuvenes, quae sint ea **sacra** **quibusque**"	"sacro; quisque"	9.33
91	"stat. ach. 1.109"	"signa tamen divumque **tori** et quem **quisque** sacravit"	"stat. theb. 5.224"	"vulnere Myrmidones, **quodque** inter serta **torosque**"	"quisque; torus"	9.12
92	"stat. ach. 1.109"	"signa tamen divumque tori et quem **quisque** **sacravit**"	"stat. theb. 10.445"	"vos **quoque** **sacrati**, quamvis mea carmina surgant"	"sacro; quisque"	9.84
93	"stat. ach. 1.110"	"accubitu genioque **locum** **monstrantur**: at intra"	"stat. theb. 12.512"	"huc volgo **monstrante** **locum** manus anxia Lernae"	"locus; monstro"	9.08
94	"stat. ach. 1.111"	"Centauri stabula **alta** patent, **non** aequa nefandis"	"stat. theb. 7.371"	"**non** humiles Aegas **altumque** Capherea dixi."	"alo-altum-altus; non"	9.12
95	"stat. ach. 1.111"	"Centauri stabula alta patent, **non** **aequa** nefandis"	"stat. theb. 9.519"	"Theseos ignis ubi est?” **non** spernit coniugis **aequas**"	"aequo-aequus; non"	9.29
96	"stat. ach. 1.111"	"Centauri stabula alta patent, **non** **aequa** nefandis"	"stat. theb. 11.272"	"sat tua **non** **aequis** luimus periuria divis."	"non; aequus"	9.05
97	"stat. ach. 1.112"	"**fratribus**, hic hominum **nullos** experta cruores"	"stat. theb. 12.330"	"imperium non **frater** habet, **nullasne** tuorum"	"frater; nullus"	9.35
98	"stat. ach. 1.114"	"aut consanguineos **fracti** crateres in **hostes**,"	"stat. theb. 5.332"	"Massylo **frangi** stupuere sub **hoste** iuvencae,"	"hostis; frango"	9.22
99	"stat. ach. 1.121"	"**igne** domum: cum **visa** procul de litore surgens"	"stat. theb. 1.654"	"tecta **vides**, **ignique** datis cultoribus omnis"	"uideo; ignis"	9.45
100	"stat. ach. 1.121"	"igne **domum**: cum visa procul de **litore** surgens"	"stat. theb. 5.427"	"caelicolas, si quando **domos** **litusque** rubentum"	"litus; domus"	9.04
101	"stat. ach. 1.124"	"tunc blandus dextra **atque** **imos** demissus in armos"	"stat. theb. 1.614"	"condidit, **atque** **imas** animae mucrone corusco"	"atque; imus"	9.78
102	"stat. ach. 1.124"	"tunc blandus dextra **atque** **imos** demissus in armos"	"stat. theb. 4.476"	"supplicia **atque** **imi** famulatur regia mundi,"	"imi-imus; atque"	9.78
103	"stat. ach. 1.124"	"tunc blandus dextra atque imos **demissus** in **armos**"	"stat. theb. 9.693"	"cornipedis laevo clipeum **demiserat** **armo**,"	"demitto; armus"	9.64
104	"stat. ach. 1.127"	"nec perpessa moras: “**ubinam** **mea** pignora, Chiron,"	"stat. theb. 10.888"	"nunc **ubi** saeva manus, **meaque** heu cunabula flammae,"	"meo-meum-meus; ubi"	9.39
105	"stat. ach. 1.129"	"te **sine**? **non** merito trepidus sopor atraque matri"	"stat. theb. 2.451"	"reddere regna **sinent**.” **non** ultra passus et orsa"	"non; sino"	9.68
106	"stat. ach. 1.129"	"te **sine**? **non** merito trepidus sopor atraque matri"	"stat. theb. 12.576"	"**non** trucibus monstris **Sinin** infandumque dedisti"	"non; sinis-sino-sinum"	9.28
107	"stat. ach. 1.130"	"**signa** deum et **magnos** utinam mentita timores?"	"stat. theb. 4.764"	"sanguinis, et **magna** lucus **signabitur** ara.”"	"magnus; signo"	9.20
108	"stat. ach. 1.130"	"signa deum et **magnos** utinam mentita **timores**?"	"stat. theb. 7.458"	"**maioresque** **timor**; spectant tentoria contra"	"magnus; timor"	9.41
109	"stat. ach. 1.130"	"**signa** deum et **magnos** utinam mentita timores?"	"stat. theb. 10.177"	"**signorum**, **magnis** ubi dudum cladibus aeger,"	"signum; magnus"	9.39
110	"stat. ach. 1.132"	"nunc planctu **livere** **manus**, modo in ubera saevas"	"stat. theb. 2.514"	"**liventesque** **manus** strictosque in vulnera dentes"	"liueo; manus"	9.79
111	"stat. ach. 1.133"	"ire **feras**; **saepe** **ipsa** — nefas! — sub inania **natum**"	"stat. theb. 1.70"	"**saepe** **tuli** **natosque** tibi, seis **ipsa**, paravi,"	"fero; saepe-saepes; natus; ipse"	9.65
112	"stat. ach. 1.133"	"ire feras; saepe **ipsa** — nefas! — sub inania **natum**"	"stat. theb. 7.610"	"iam non ausa preces; **natas** **ipsamque** repellunt"	"ipse; natus"	9.53
113	"stat. ach. 1.133"	"ire feras; saepe **ipsa** — **nefas**! — sub inania natum"	"stat. theb. 9.882"	"stare negant, **ipsisque** **nefas** lacrimabile Thebis,"	"ipse; nefas"	9.72
114	"stat. ach. 1.134"	"Tartara et ad Stygios **iterum** fero **mergere** fontes,"	"stat. theb. 9.363"	"**mergitur** orba **iterum**, penitusque occulta sub undis"	"mergo; iterum"	9.36
115	"stat. ach. 1.134"	"Tartara et ad Stygios iterum **fero** mergere **fontes**,"	"stat. theb. 9.436"	"**fonte** lavare **feror**, stipatus caedibus artas"	"fero; fons"	9.08
116	"stat. ach. 1.135"	"hos abolere **metus** magici **iubet** ordine sacri"	"stat. theb. 2.249"	"ecce **metu** subito—Lachesis sic dura **iubebat**—"	"iubeo; metus"	9.02
117	"stat. ach. 1.135"	"hos abolere metus magici **iubet** **ordine** sacri"	"stat. theb. 10.19"	"sorte Meges ultroque Lycus, iamque **ordine** **iusso**"	"ordo; iubeo"	9.73
118	"stat. ach. 1.135"	"hos abolere metus magici **iubet** ordine **sacri**"	"stat. theb. 10.650"	"Sed neque te indecorem **sacris** dignumque **iuberi**"	"sacer-sacrum; iubeo"	9.46
119	"stat. ach. 1.136"	"Carpathius vates puerumque **sub** **axe** peracto"	"stat. theb. 7.78"	"occupat Armipotens neque enim hune, germane, **sub** **axem**"	"axis; sub"	9.19
120	"stat. ach. 1.136"	"Carpathius vates puerumque **sub** **axe** peracto"	"stat. theb. 8.43"	"vincula et aetherium cupidos exire **sub** **axem**"	"sub; axis"	9.19
121	"stat. ach. 1.140"	"donaque — sed **longum** **cuncta** enumerare vetorque;"	"stat. theb. 1.315"	"concipit, et **longum** signis **cunctantibus** annum"	"longus; cunctor"	9.55
122	"stat. ach. 1.140"	"donaque — **sed** longum cuncta enumerare **vetorque**;"	"stat. theb. 3.183"	"arva suis. **sed** nec **veteris** cum regia Cadmi"	"sed; ueto"	9.08
123	"stat. ach. 1.140"	"donaque — **sed** longum **cuncta** enumerare vetorque;"	"stat. theb. 4.189"	"signa, **sed** ipsa manu **cunctanti** iniecerat arma"	"cunctor; sed"	9.13
124	"stat. ach. 1.140"	"donaque — sed **longum** cuncta enumerare **vetorque**;"	"stat. theb. 12.95"	"tecum ardere **veto**; **longos** utinam addere sensus"	"longus; ueto"	9.75
125	"stat. ach. 1.143"	"ausa seni. tunc **ipse** refert: “duc, **optima**, quaeso,"	"stat. theb. 5.138"	"**ipsa** faces alias **melioraque** foedera iungam.”"	"ipse; bonus"	9.10
126	"stat. ach. 1.145"	"nam superant tua vota modum **placandaque** **multum**"	"stat. theb. 4.613"	"exitium et **multum** **placata** minoribus umbra,"	"placo; multus"	9.30
127	"stat. ach. 1.145"	"nam superant **tua** **vota** modum placandaque multum"	"stat. theb. 6.144"	"dulce? quis hoc armis **vovit** scelus? at **tua** nondum,"	"uoueo; tuus"	9.36
128	"stat. ach. 1.145"	"nam superant tua vota **modum** **placandaque** multum"	"stat. theb. 7.329"	"si **modo** **placavit** felix Aegina Tonantem."	"modus; placo"	9.88
129	"stat. ach. 1.145"	"nam **superant** tua vota **modum** placandaque multum"	"stat. theb. 9.456"	"aggere, iam medium **modo** qui **superaverat** amnem"	"supero; modus"	9.27
130	"stat. ach. 1.146"	"**invidia** **est**. non addo metum, sed vera fatebor:"	"stat. theb. 1.280"	"quae tandem **invidia** **est**? belli deflecte tumultus"	"sum; inuidia"	9.20
131	"stat. ach. 1.146"	"invidia est. non addo **metum**, sed **vera** fatebor:"	"stat. theb. 10.722"	"falleris heu **verosque** **metus**, pater optime, nescis,"	"metus; uerus"	9.62
132	"stat. ach. 1.149"	"olim et ferre minas **avideque** **audire** solebat"	"stat. theb. 6.365"	"finis erat, differt **avidas** **audire** sorores,"	"audio; auidus"	9.45
