# Tesserae V3 results
#
# session   = 00000005
# source    = ovid.metamorphoses
# target    = statius.achilleid
# unit      = line
# feature   = stem
# stopsize  = 10
# stbasis   = both
# stopwords = et qui quis sum in hic ille ego neque tu
# max_dist  = 10
# dibasis   = freq
# cutoff    = 9
# filter    = off

"RESULT"	"TARGET_LOC"	"TARGET_TXT"	"SOURCE_LOC"	"SOURCE_TXT"	"SHARED"	"SCORE"
81	"stat. ach. 1.63"	"aequor? **eunt** tutis **terrarum** crimina velis,"	"ov. met. 1.138"	"poscebatur humus, sed **itum** est in viscera **terrae**:"	"eo; terra"	9.32
82	"stat. ach. 1.63"	"aequor? **eunt** **tutis** **terrarum** crimina velis,"	"ov. met. 2.137"	"inferius **terras**: medio **tutissimus** **ibis**."	"eo; terra; tueor"	10.33
83	"stat. ach. 1.63"	"aequor? **eunt** **tutis** terrarum crimina velis,"	"ov. met. 2.696"	"“**Tutus** **eas**:  lapis iste prius tua furta loquetur”,"	"tueor; eo"	9.52
84	"stat. ach. 1.63"	"aequor? eunt tutis terrarum **crimina** **velis**,"	"ov. met. 10.68"	"quique in se **crimen** traxit **voluitque** videri"	"crimen; uolo"	9.79
85	"stat. ach. 1.63"	"aequor? eunt **tutis** **terrarum** crimina velis,"	"ov. met. 10.389"	"Muta silet virgo **terramque** inmota **tuetur**"	"terra; tueor"	9.67
86	"stat. ach. 1.63"	"aequor? eunt tutis terrarum **crimina** **velis**,"	"ov. met. 15.502"	"quod **voluit**, **voluisse**, infelix **crimine** verso"	"uolo; crimen"	9.66
87	"stat. ach. 1.65"	"rupit Iasonia **puppis** **Pagasaea** rapina."	"ov. met. 7.1"	"Iamque fretum Minyae **Pagasaea** **puppe** secabant,"	"pagasaeus; puppis"	9.70
88	"stat. ach. 1.66"	"en aliud furto scelus et **spolia** hospita **portans**"	"ov. met. 7.157"	"muneris auctorem secum, **spolia** altera, **portans**"	"spolio-spolium; porto"	10.26
89	"stat. ach. 1.66"	"en aliud furto scelus et **spolia** hospita **portans**"	"ov. met. 8.87"	"fert secum **spolium** celeris progressaque **porta**"	"spolium; porto"	9.34
90	"stat. ach. 1.68"	"eheu quos gemitus **terris** caeloque **daturus**,"	"ov. met. 1.195"	"quas **dedimus** certe **terras** habitare sinamus."	"do; terra"	9.03
91	"stat. ach. 1.68"	"eheu quos gemitus **terris** **caeloque** daturus,"	"ov. met. 2.6"	"aequora **caelarat** medias cingentia **terras**,"	"caelo; terra"	9.56
92	"stat. ach. 1.68"	"eheu quos gemitus **terris** **caeloque** daturus,"	"ov. met. 2.7"	"**terrarumque** orbem, **caelumque** quod inminet orbi."	"terra; caelum-caelus"	9.85
93	"stat. ach. 1.68"	"eheu quos gemitus **terris** caeloque **daturus**,"	"ov. met. 7.608"	"Aut inhumata premunt **terras** aut **dantur** in altos"	"do; terra"	9.03
94	"stat. ach. 1.68"	"eheu quos **gemitus** terris caeloque **daturus**,"	"ov. met. 8.761"	"contremuit **gemitumque** **dedit** Deoia quercus:"	"do; gemitus-gemo"	9.12
95	"stat. ach. 1.68"	"eheu quos gemitus terris **caeloque** **daturus**,"	"ov. met. 14.844"	"fata semel **dederint**, **caelum** accepisse fatebor.”"	"do; caelum-caelus"	9.48
96	"stat. ach. 1.68"	"eheu quos **gemitus** terris caeloque **daturus**,"	"ov. met. 15.612"	"Demisere oculos omnes **gemitumque** **dedere**"	"gemitus-gemo; do"	9.26
97	"stat. ach. 1.70"	"hi **veneris** mores, **hoc** gratae munus alumnae?"	"ov. met. 9.386"	"erigite **huc** artus et ad oscula nostra **venite**,"	"uenio; huc"	9.08
98	"stat. ach. 1.72"	"Thesea? — **si** **quis** adhuc undis honor, obrue puppes,"	"ov. met. 4.248"	"**si** **queat** in vivum temptat revocare calorem:"	"queo; si"	9.22
99	"stat. ach. 1.74"	"pro nato **timuisse** mihi. **da** pellere luctus,"	"ov. met. 2.91"	"pignera certa petis? **do** pignera certa **timendo**"	"timeo; do"	9.65
100	"stat. ach. 1.74"	"pro **nato** timuisse mihi. **da** pellere luctus,"	"ov. met. 6.507"	"inter seque **datas** iunxit **natamque** nepotemque"	"do; natus"	9.21
101	"stat. ach. 1.74"	"**pro** **nato** timuisse mihi. da pellere luctus,"	"ov. met. 7.159"	"Haemoniae matres **pro** **gnatis** dona receptis"	"natus; pro"	9.95
102	"stat. ach. 1.74"	"pro **nato** timuisse mihi. da pellere **luctus**,"	"ov. met. 7.390"	"Eumelique domum **lugentis** in aere **natum**."	"natus; lugeo"	9.15
103	"stat. ach. 1.74"	"**pro** **nato** timuisse mihi. da pellere luctus,"	"ov. met. 7.482"	"“Arma iuves oro **pro** **gnato** sumpta piaeque"	"natus; pro"	9.32
104	"stat. ach. 1.74"	"**pro** **nato** timuisse mihi. da pellere luctus,"	"ov. met. 7.590"	"**pro** **gnato** genitor dum verba precantia dicit,"	"natus; pro"	9.32
105	"stat. ach. 1.77"	"Orabat laniata **genas** et **pectore** nudo"	"ov. met. 2.656"	"**pectoribus**, lacrimaeque **genis** labuntur obortae,"	"gena-genae; pectus"	9.32
106	"stat. ach. 1.77"	"Orabat laniata genas et **pectore** **nudo**"	"ov. met. 3.178"	"sicut erant, viso **nudae** sua **pectora** nymphae"	"nudus; pectus"	9.17
107	"stat. ach. 1.77"	"**Orabat** **laniata** genas et pectore nudo"	"ov. met. 5.398"	"clamat; et, ut summa vestem **laniarat** ab **ora**,"	"lanio; oro"	9.83
108	"stat. ach. 1.77"	"Orabat **laniata** genas et **pectore** nudo"	"ov. met. 6.248"	"Adspicit Alphenor **laniataque** **pectora** plangens"	"pectus; lanio"	9.58
109	"stat. ach. 1.77"	"**Orabat** **laniata** genas et **pectore** nudo"	"ov. met. 11.681"	"percutit **ora** manu **laniatque** a **pectore** vestes"	"pectus; lanio; oro"	9.86
110	"stat. ach. 1.77"	"**Orabat** **laniata** genas et pectore nudo"	"ov. met. 12.563"	"hamatisque viri **laniaverat** unguibus **ora**:"	"lanio; oro"	9.83
111	"stat. ach. 1.77"	"Orabat **laniata** genas et **pectore** nudo"	"ov. met. 13.493"	"plura quidem, sed et haec **laniato** **pectore** dixit:"	"lanio; pectus"	9.59
112	"stat. ach. 1.78"	"caeruleis obstabat **equis**, **sed** rector aquarum"	"ov. met. 2.668"	"**sed** simulantis **equam**, parvoque in tempore certos"	"equa; sed"	9.06
