# Tesserae V3 results
#
# session   = 00000004
# source    = ovid.elegies
# target    = statius.achilleid
# unit      = line
# feature   = stem
# stopsize  = 10
# stbasis   = both
# stopwords = et qui quis sum ego tu in ille hic neque
# max_dist  = 10
# dibasis   = freq
# cutoff    = 9
# filter    = off

"RESULT"	"TARGET_LOC"	"TARGET_TXT"	"SOURCE_LOC"	"SOURCE_TXT"	"SHARED"	"SCORE"
58	"stat. ach. 1.52"	"aspicit. Oceano veniebat **ab** **hospite**, mensis"	"ov. her.8.71"	"Taenaris Idaeo trans aequor **ab** **hospite** rapta / Argolicas pro se vertit in arma manus."	"ab; hospes-hospitus"	9.19
59	"stat. ach. 1.52"	"aspicit. Oceano **veniebat** **ab** hospite, mensis"	"ov. her.16.241"	"**A**, quotiens lacrimis **venientibus** ora reflexi, / Ne causam fletus quaereret ille mei!"	"uenio; ab"	9.36
60	"stat. ach. 1.53"	"**laetus** et aequoreo **diffusus** nectare vultus —"	"ov. ars.1.217"	"Spectabunt **laeti** iuvenes mixtaeque puellae, / **Diffundetque** animos omnibus ista dies."	"diffundo; laetus"	9.35
61	"stat. ach. 1.54"	"unde hiemes ventique **silent** **cantuque**, quieto"	"ov. am.2.19.39"	"Incipe, quis totiens furtim tua limina pulset, / Quaerere, quid latrent nocte **silente** **canes**,"	"sileo; cano"	9.07
62	"stat. ach. 1.54"	"unde hiemes **ventique** silent **cantuque**, quieto"	"ov. ars.2.117"	"Et tibi iam **venient** **cani**, formose, capilli, / Iam **venient** rugae, quae tibi corpus arent."	"uenio; cano"	9.76
63	"stat. ach. 1.54"	"unde hiemes ventique **silent** **cantuque**, quieto"	"ov. ars.2.505"	"Qui sermone placet, taciturna **silentia** vitet: / Qui **canit** arte, **canat**; qui bibit arte, bibat."	"sileo; cano"	9.67
64	"stat. ach. 1.57"	"**rege** salutato; placidis **ipse** arduus undis"	"ov. her.8.45"	"Tantalides omnis **ipsumque** **regebat** Achillem. / Hic pars militiae; dux erat ille ducum."	"ipse; rego"	9.96
65	"stat. ach. 1.58"	"eminet et triplici telo **iubet** **ire** iugales,"	"ov. am.2.16.17"	"Aut iuvenum comites **iussissent** **ire** puellas, / Si fuit in longas terra secanda vias!"	"iubeo; eo-iris-irus"	9.69
66	"stat. ach. 1.58"	"eminet et triplici telo **iubet** **ire** iugales,"	"ov. her.1.101"	"Di, precor, hoc **iubeant**, ut **euntibus** ordine fatis / Ille meos oculos conprimat, ille tuos!"	"iubeo; eo"	9.73
67	"stat. ach. 1.58"	"eminet et triplici telo **iubet** **ire** iugales,"	"ov. her.2.51"	"Credidimus lacrimis --- an et hae simulare docentur? / Hae quoque habent artes, quaque **iubentur**, **eunt**?"	"iubeo; eo"	9.76
68	"stat. ach. 1.60"	"pone **natant** delentque **pedum** vestigia cauda—"	"ov. ars.1.515"	"Lingula ne rigeat, careant rubigine dentes, / Nec vagus in laxa **pes** tibi pelle **natet**:"	"pes; nato"	9.40
69	"stat. ach. 1.65"	"rupit Iasonia **puppis** **Pagasaea** rapina."	"ov. her.16.347"	"Phasida **puppe** nova vexit **Pagasaeus** Iason, / Laesa neque est Colcha Thessala terra manu."	"pagasaeus; puppis"	9.04
70	"stat. ach. 1.68"	"eheu quos **gemitus** terris caeloque **daturus**,"	"ov. her.11.29"	"Nec somni faciles et nox erat annua nobis, / Et **gemitum** nullo laesa dolore **dabam**."	"do; gemitus-gemo"	9.22
71	"stat. ach. 1.70"	"hi **veneris** mores, **hoc** gratae munus alumnae?"	"ov. her.10.57"	"**Venimus** **huc** ambo; cur non discedimus ambo? / Perfide, pars nostri, lectule, maior ubi est?'"	"huc; uenio"	9.03
72	"stat. ach. 1.72"	"Thesea? — si quis adhuc **undis** honor, **obrue** puppes,"	"ov. her.7.77"	"Quid puer Ascanius, quid di meruere Penates? / Ignibus ereptos **obruet** **unda** deos?"	"obruo; unda"	9.58
73	"stat. ach. 1.74"	"pro nato **timuisse** mihi. **da** pellere luctus,"	"ov. am.3.8.63"	"Me prohibet custos, in me **timet** illa maritum. / Si **dederim**, tota cedet uterque domo!"	"timeo; do"	9.10
74	"stat. ach. 1.74"	"pro **nato** timuisse mihi. da **pellere** luctus,"	"ov. ars.1.515"	"Lingula ne rigeat, careant rubigine dentes, / Nec vagus in laxa pes tibi **pelle** **natet**:"	"nato; pello"	9.44
75	"stat. ach. 1.74"	"pro **nato** **timuisse** mihi. **da** pellere luctus,"	"ov. ars.2.63"	"Inter utrumque vola; ventos quoque, **nate**, **timeto**, / Quaque ferent aurae, vela secunda **dato**.'"	"do; timeo; natus-no"	9.75
76	"stat. ach. 1.76"	"**litus** et Iliaci **scopulos** habitare sepulcri.”"	"ov. her.2.121"	"Maesta tamen **scopulos** fruticosaque **litora** calco / Quaeque patent oculis **litora** lata meis."	"litus; scopulus"	9.33
77	"stat. ach. 1.78"	"**caeruleis** obstabat **equis**, sed rector aquarum"	"ov. her.7.49"	"Iam venti ponent, strataque aequaliter unda / **Caeruleis** Triton per mare curret **equis**."	"equa-equio-equus; caeruleum-caeruleus"	9.03
78	"stat. ach. 1.78"	"**caeruleis** obstabat equis, **sed** rector aquarum"	"ov. her.19.191"	"**Sed** mihi, **caeruleas** quotiens obvertor ad undas, / Nescio quo pavidum frigore pectus hebet."	"sed; caeruleus"	9.20
79	"stat. ach. 1.79"	"invitat **curru** dictisque **ita** mulcet amicis:"	"ov. ars.1.329"	"Non medium rupisset **iter**, **curruque** retorto / Auroram versis Phoebus adisset equis."	"ito; currus"	9.56
80	"stat. ach. 1.79"	"invitat curru **dictisque** ita mulcet **amicis**:"	"ov. her.1.45"	"Usque metu micuere sinus, dum victor **amicum** / **Dictus** es Ismariis isse per agmen equis."	"dico; amicus"	9.40
81	"stat. ach. 1.79"	"invitat curru **dictisque** **ita** mulcet amicis:"	"ov. her.15.81"	"Sive **ita** nascenti legem **dixere** Sorores / Nec data sunt vitae fila severa meae,"	"dico; ita-ito"	9.45
82	"stat. ach. 1.80"	"“**ne** **pete** Dardaniam frustra, Theti, mergere classem:"	"ov. her.15.137"	"Antra **nemusque** **peto**, tamquam **nemus** antraque prosint ---  / Conscia deliciis illa fuere meis."	"neo; peto"	9.97
83	"stat. ach. 1.81"	"**fata** vetant, ratus ordo deis **miscere** cruentas"	"ov. ars.1.739"	"Conquerar, an moneam **mixtum** **fas** omne nefasque? / Nomen amicitia est, nomen inane fides."	"misceo; for"	9.17
84	"stat. ach. 1.81"	"fata **vetant**, ratus ordo **deis** miscere cruentas"	"ov. her.7.139"	"'Sed iubet ire **deus**.' vellem, **vetuisset** adire, / Punica nec Teucris pressa fuisset humus! "	"ueto; deus"	9.27
85	"stat. ach. 1.81"	"fata vetant, ratus ordo **deis** **miscere** cruentas"	"ov. her.16.199"	"Phryx erat et nostro genitus de sanguine, qui nunc / Cum **dis** potando nectare **miscet** aquas. "	"misceo; deus"	9.58
86	"stat. ach. 1.82"	"**Europamque** **Asiamque** manus, consultaque **belli**"	"ov. am.2.12.17"	"Nec **belli** est nova causa mei. nisi rapta fuisset / Tyndaris, **Europae** pax **Asiaeque** foret. "	"bellius-bellum-bellus; europe; asia-asius"	10.22
87	"stat. ach. 1.85"	"aspicies **victrix** **Phrygiarum** funera matrum,"	"ov. her.8.13"	"Parcius Andromachen vexavit Achaia **victrix**, / Cum Danaus **Phrygias** ureret ignis opes."	"phrygiae-phrygius; uictrix"	9.69
88	"stat. ach. 1.86"	"cum **tuus** Aeacides tepido **modo** sanguine Teucros"	"ov. her.3.89"	"Propter me mota est, propter me desinat ira, / Simque ego tristitiae causa **modusque** **tuae**."	"tuus; modus"	9.37
89	"stat. ach. 1.90"	"Pelea **iam** **desiste** queri thalamosque minores:"	"ov. am.1.14.1"	"Dicebam 'medicare tuos **desiste** capillos!' / Tingere quam possis, **iam** tibi nulla coma est."	"iam; desisto"	9.07
90	"stat. ach. 1.90"	"Pelea iam desiste **queri** **thalamosque** minores:"	"ov. her.7.123"	"Mille procis placui, qui me coiere **querentes** / Nescio quem **thalamis** praeposuisse suis."	"thalamus; queror"	9.60
91	"stat. ach. 1.90"	"Pelea iam desiste **queri** thalamosque **minores**:"	"ov. her.18.113"	"Oscula congerimus properata sine ordine raptim / Et **querimur** **parvas** noctibus esse moras."	"paruus; queror"	10.22
92	"stat. ach. 1.91"	"credens peperisse Iovi; nec **inulta** **dolebis**"	"ov. ars.1.365"	"Tum quoque temptanda est, cum paelice laesa **dolebit**: / Tum facies opera, ne sit **inulta**, tua."	"inultus; doleo"	9.38
93	"stat. ach. 1.91"	"**credens** peperisse Iovi; nec inulta **dolebis**"	"ov. her.19.117"	"Quodsi quam sciero, moriar, mihi **crede**, **dolendo**; / Iamdudum pecca, si mea fata petis!"	"credo; doleo"	9.18
94	"stat. ach. 1.92"	"cognatisque **utere** fretis: **dabo** tollere fluctus,"	"ov. ars.1.433"	"Multa rogant **utenda** **dari**, **data** reddere nolunt: / Perdis, et in damno gratia nulla tuo."	"utor; do"	9.77
95	"stat. ach. 1.92"	"cognatisque **utere** **fretis**: **dabo** tollere fluctus,"	"ov. ars.2.337"	"Sed non cui **dederas** a litore carbasa vento, / **Utendum**, medio cum potiere **freto**."	"fretum-fretus; utor; do"	9.05
96	"stat. ach. 1.92"	"**cognatisque** utere fretis: **dabo** tollere fluctus,"	"ov. her.14.101"	"Per mare, per terras **cognataque** flumina curris; / **Dat** mare, **dant** amnes, **dat** tibi terra viam."	"do; cognata-cognatus"	9.14
97	"stat. ach. 1.92"	"cognatisque **utere** fretis: **dabo** tollere fluctus,"	"ov. her.17.175"	"Tempora ne pereant ultro **data** praecipis, utque / Simplicis **utamur** commoditate viri."	"do; utor"	9.19
98	"stat. ach. 1.95"	"Dixerat, **illa** gravi vultum demissa **repulsa**,"	"ov. am.1.7.61"	"Ter tamen ante pedes volui procumbere supplex; / Ter formidatas **reppulit** **illa** manus."	"illa; repello"	9.21
99	"stat. ach. 1.95"	"**Dixerat**, **illa** gravi vultum demissa repulsa,"	"ov. ars.3.497"	"Femina **dicatur** scribenti semper amator: / **Illa** sit in vestris, qui fuit ille, notis."	"illa; dico"	9.13
100	"stat. ach. 1.95"	"Dixerat, illa **gravi** vultum demissa **repulsa**,"	"ov. her.20.167"	"Tu petis ex tuto; **gravior** mihi morte **repulsa** est, / Idque ego iam, quod tu forsan amabis, amo."	"repello-repulsa-repulso; grauis"	9.22
101	"stat. ach. 1.96"	"quae iam excire fretum et **ratibus** bellare **parabat**"	"ov. her.8.23"	"Nec tu mille **rates** sinuosaque vela **pararis** / Nec numeros Danai militis --- ipse veni!"	"paro; ratis"	9.34
102	"stat. ach. 1.97"	"Iliacis, alios **animo** commenta **paratus**,"	"ov. rem.805"	"Vina **parant** **animum** Veneri, nisi plurima sumas / Et stupeant multo corda sepulta mero."	"animus; paro"	9.05
103	"stat. ach. 1.98"	"tristis ad **Haemonias** detorquet brachia **terras**,"	"ov. rem.249"	"Viderit, **Haemoniae** siquis mala pabula **terrae** / Et magicas artes posse iuvare putat."	"haemonia-haemonius; terra"	9.05
104	"stat. ach. 1.98"	"tristis **ad** **Haemonias** detorquet brachia terras,"	"ov. her.12.127"	"Sospes **ad** **Haemonias** victorque reverteris urbes; / Ponitur **ad** patrios aurea lana deos."	"haemonia-haemonius; ad"	9.19
105	"stat. ach. 1.99"	"**ter** conata manu, liquidum **ter** gressibus **aequor**"	"ov. ars.1.111"	"Dumque, rudem praebente modum tibicine Tusco, / Ludius **aequatam** **ter** pede pulsat humum,"	"aequo; ter"	9.22
106	"stat. ach. 1.99"	"**ter** **conata** manu, liquidum **ter** gressibus aequor"	"ov. her.4.7"	"**Ter** tecum **conata** loqui **ter** inutilis haesit / Lingua, **ter** in primo restitit ore sonus."	"conatum-conor; ter"	9.74
