# Tesserae V3 results
#
# session   = 00000075
# source    = ovid.elegies
# target    = statius.achilleid.part.7.1,560-674
# unit      = line
# feature   = stem
# stopsize  = 10
# stbasis   = both
# stopwords = et qui quis sum ego tu in ille hic neque
# max_dist  = 10
# dibasis   = freq
# cutoff    = 9
# filter    = off

"RESULT"	"TARGET_LOC"	"TARGET_TXT"	"SOURCE_LOC"	"SOURCE_TXT"	"SHARED"	"SCORE"
100	"stat. ach. 1.653"	"tegmina, ni primo tu **visa** in **litore**: cessi"	"ov. her.10.17"	"Luna fuit; specto, siquid nisi **litora** cernam. / Quod **videant** oculi, nil nisi **litus** habent."	"uideo; litus"	9.19
101	"stat. ach. 1.656"	"quid gemis ingentes **caelo** **paritura** nepotes?"	"ov. ars.1.247"	"Luce deas **caeloque** **Paris** spectavit aperto, / Cum dixit Veneri 'vincis utramque, Venus.'"	"pario; caelo-caelum-caelus"	9.38
102	"stat. ach. 1.657"	"sed pater — : ante **igni** **ferroque** excisa iacebit"	"ov. am.1.6.57"	"Aut ego iam **ferroque** **ignique** paratior ipse, / Quem face sustineo, tecta superba petam."	"ferrum; ignio-ignis"	10.42
103	"stat. ach. 1.658"	"Scyros et in **tumidas** ibunt haec **versa** procellas"	"ov. am.1.9.13"	"Nec freta pressurus **tumidos** causabitur Euros / Aptaque **verrendis** sidera quaeret aquis."	"uerro; tumidus"	9.35
104	"stat. ach. 1.663"	"**quamquam** olim **suspecta** fides, et comminus ipsum"	"ov. am.3.8.1"	"Et **quisquam** ingenuas etiamnunc **suspicit** artes, / Aut tenerum dotes carmen habere putat?"	"suspicio; quisquam"	9.23
105	"stat. ach. 1.664"	"horruit et **facies** multum **mutata** fatentis."	"ov. am.2.19.29"	"Dum servat Iuno **mutatam** cornibus Io, / **Facta** est, quam fuerat, gratior illa Iovi."	"mutatus-muto; facio"	9.26
106	"stat. ach. 1.664"	"horruit et **facies** **multum** mutata fatentis."	"ov. ars.1.237"	"Vina parant animos **faciuntque** caloribus aptos: / Cura fugit **multo** diluiturque mero."	"multus; facio"	9.07
107	"stat. ach. 1.664"	"horruit et **facies** multum **mutata** fatentis."	"ov. her.16.289"	"Aut **faciem** **mutes** aut sis non dura, necesse est; / Lis est cum forma magna pudicitiae."	"facies; muto"	9.63
108	"stat. ach. 1.665"	"quid faciat? casusne suos **ferat** **ipsa** parenti"	"ov. am.2.14.39"	"**Ipsa** perit, **ferturque** rogo resoluta capillos, / Et clamant 'merito!' qui modo cumque vident."	"fero; ipse"	9.47
109	"stat. ach. 1.665"	"quid **faciat**? casusne suos ferat ipsa **parenti**"	"ov. her.2.75"	"De tanta rerum turba **factisque** **parentis** / Sedit in ingenio Cressa relicta tuo. "	"parens-pareo; facio"	9.13
110	"stat. ach. 1.665"	"quid faciat? casusne suos **ferat** **ipsa** parenti"	"ov. her.9.17"	"Quod te **laturum** est, caelum prius **ipse** **tulisti**; / Hercule supposito sidera fulsit Atlans."	"fero; ipse"	9.22
111	"stat. ach. 1.665"	"quid faciat? casusne suos **ferat** **ipsa** parenti"	"ov. her.15.33"	"Sim brevis, at nomen, quod terras inpleat omnes, / Est mihi; mensuram nominis **ipsa** **fero**."	"fero; ipse"	9.06
112	"stat. ach. 1.666"	"seque simul **iuvenemque** **premat**, fortassis acerbas"	"ov. her.12.29"	"Accipis hospitio **iuvenes**, Aeeta, Pelasgos, / Et **premitis** pictos, corpora Graia, toros."	"iuuenis; premo"	9.24
113	"stat. ach. 1.668"	"ille diu **deceptus** **amor**: silet aegra premitque"	"ov. rem.345"	"Saepe ubi sit, quod **ames**, inter tam multa requiras; / **Decipit** hac oculos aegide dives **Amor**."	"amo; amo-amor; decipio"	9.17
114	"stat. ach. 1.668"	"ille diu **deceptus** **amor**: silet aegra premitque"	"ov. rem.501"	"**Deceptum** risi, qui se simularat **amare**, / In laqueos auceps decideratque suos. "	"amo; deceptus-decipio"	9.11
